Name,Latitude,Longitude
1200 Beacon St,42.34414899,-71.11467361
160 Arsenal,42.36466403,-71.17569387
175 N Harvard St,42.363796,-71.129164
191 Beacon St,42.38032335,-71.10878613
2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003
30 Dane St,42.38100143,-71.10402523
359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
555 Metropolitan Ave,42.2681,-71.11924
606 American Legion Hwy at Canterbury St,42.28578,-71.109725
645 Summer St,42.34178089,-71.03987017
699 Mt Auburn St,42.37500235,-71.14871614
7 Acre Park,42.41143223,-71.06823265
700 Commonwealth Ave.,42.34960945,-71.10391524
700 Huron Ave,42.38078817,-71.15412891
75 Binney St,42.36550729,-71.0801376
84 Cambridgepark Dr,42.3936,-71.143941
855 Broadway,42.39841773,-71.02390923
955 Mass Ave,42.36895181,-71.1099878
Adams Branch Library,42.286011,-71.054689
Adams St at Lonsdale St,42.29167943,-71.05726346
Addison St at Saratoga St,42.38518147,-71.0151367
Airport T Stop - Bremen St at Brooks St,42.37534193,-71.0312891
Albany St at E. Brookline St,42.33664795,-71.0689446
Alewife MBTA at Steel Place,42.39558846,-71.14260614
Alewife Station at Russell Field,42.396105,-71.139459
American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703
American Legion Hwy at Hyde Park Ave,42.27265394,-71.11990392
Ames St at Broadway,42.3636929,-71.0875672
Ames St at Main St,42.3625,-71.08822
Andrew T Stop - Dorchester Ave at Dexter St,42.33073333,-71.05699851
Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981
Arch St at Franklin St,42.35533502,-71.05822917
Archdale Rd at Washington St,42.29266593,-71.12119539
Arsenal Yards,42.36277389,-71.15764854
Ashmont T Stop,42.2856944,-71.0641389
Assembly Square T,42.39223284,-71.07746601
Auburndale,42.34805541,-71.24775946
B.U. Central - 725 Comm. Ave.,42.350406,-71.108279
Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015
Bacon St at Washington St,42.35711921,-71.18604537
Ball Sq,42.39920336,-71.11102236
Bartlett St at John Elliot Sq,42.3294633,-71.0901582
Beacon at Walnut,42.33006232,-71.20668411
Beacon St at Charles St,42.356052,-71.069849
Beacon St at Massachusetts Ave,42.35082681,-71.08981088
Beacon St at Tappan St,42.3382668,-71.13894682
Beacon St at Washington / Kirkland,42.37875351,-71.10707223
Belgrade Ave at Walworth St,42.28634589,-71.1367213
Bellevue T Stop,42.28611421,-71.14636928
Bellingham Square,42.39319611,-71.0334456
Bennington St at Byron St,42.38353252,-71.01619095
Bennington St at Constitution Beach,42.38522394,-71.01063069
Berkshire Street at Cambridge Street,42.37207658,-71.08995434
Binney St / Sixth St,42.36608797,-71.08633604
Blossom St at Charles St,42.36435589,-71.06959369
Blue Hill Ave at Almont St,42.27462067,-71.09372552
Blue Hill Ave at Havelock St,42.286012,-71.090986
Blue Hill Ave at Southwood St,42.31786021,-71.07798629
Boston City Hall - 28 State St,42.35892,-71.057629
Boston College T,42.33987892,-71.16708934
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997
Boston East - 126 Border St,42.37331213,-71.04102008
Boston Landing,42.35656092,-71.14167538
Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711
Bowdoin St at Quincy St,42.30785224,-71.06512249
Boylston St at Arlington St,42.35200961,-71.07060295
Boylston St at Berkeley St,42.35114198,-71.07329249
Boylston St at Dartmouth St,42.3501932,-71.07744187
Boylston St at Exeter St,42.34958942,-71.07946779
Boylston St at Fairfield St,42.34908155,-71.08192384
Boylston St at Jersey St,42.34465063,-71.09732501
Boylston St at Massachusetts Ave,42.34740621,-71.08678415
Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918
Brighton Ave at Linden St,42.3528376,-71.1296752
Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189
Brighton Mills - 370 Western Ave,42.36154571,-71.13776207
Broad Canal Way at Third Street,42.3630455,-71.08287079
Broad St at Central St,42.35849449,-71.0542647
Broadway at Beacham St,42.3983606,-71.06373843
Broadway at Central St,42.3951715,-71.09850592
Broadway at Gerrish Ave,42.39453079,-71.03085594
Broadway at Grafton St,42.40994213,-71.1400932
Broadway at Lynde St,42.39648358,-71.0654676
Broadway at Maple St,42.41034691,-71.05260458
Broadway St at Mt Pleasant St,42.38614141,-71.0782814
Brookline Town Hall,42.33376473,-71.12046447
Brookline Village - Station Street at MBTA,42.33274392,-71.11626681
Bunker Hill Community College,42.37408991,-71.06905997
Burlington Ave at Brookline Ave,42.345733,-71.100694
California at Chapel,42.36514871,-71.20236039
Cambridge Crossing at North First Street,42.371141,-71.076198
Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867
Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
Cambridge St at Joy St,42.36125722,-71.06528744
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36707407,-71.07679278
Canal St at Causeway St,42.36530095,-71.06092191
Cary Square,42.39813565,-71.03070972
Central Ave at River St,42.27094707,-71.07337901
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
Central Square at Mass Ave / Essex St,42.36507,-71.1031
Central Square East Boston,42.37544913,-71.03918549
Centre St at Commonwealth Ave,42.3362358,-71.1934421
Centre St at Parkway YMCA,42.28277901,-71.15728851
Centre St at Seaverns Ave,42.3121203,-71.1142981
Centre St at W. Roxbury Post Office,42.28633199,-71.15344755
Centre St at Washington St,42.35574335,-71.18641943
Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962
Charlestown Navy Yard,42.37412455,-71.054812
Chelsea Square,42.39022671,-71.03857018
Chelsea St at Vine St,42.40328057,-71.0476264
Chelsea Station,42.39636528,-71.03987179
Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496
Chinatown Gate Plaza,42.351356,-71.059367
Chinatown T Stop,42.352409,-71.062679
Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377
Circuit Drive at American Legion Hwy,42.29704126,-71.09171927
Clarendon Hill at Broadway,42.406302,-71.132446
Clarendon St at Newbury St,42.35159662,-71.07561663
Cleary Sq,42.2556,-71.12444
Cleveland Circle,42.33554308,-71.1506152
Clinton St at North St,42.36070284,-71.05524927
Codman Square Library,42.2873611,-71.071111
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884
Columbia Rd at Ceylon St,42.309572,-71.0729
Columbia Rd at Tierney Community Center,42.33023071,-71.05060093
Columbus Ave at W. Canton St,42.34474225,-71.07648162
Commonwealth Ave at Agganis Way,42.35169202,-71.11903489
Commonwealth Ave At Babcock St,42.35154735,-71.12126246
Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806
Commonwealth Ave at Griggs St,42.34922469,-71.13275303
Commonwealth Ave at Kelton St,42.34835863,-71.13997217
Community Life Center,42.520136,-70.906271
Community Path at Cedar Street,42.39407224,-71.11133695
Community Path at Lowell St,42.392525,-71.105587
Concord Ave at Spinelli Place,42.390719,-71.1538877
Congress St at Boston City Hall,42.36041775,-71.05752244
Congress St at Northern Ave,42.3481,-71.03764
Congress St at Sleeper St,42.3510045,-71.04930013
Conway Park - Somerville Avenue,42.38363895,-71.10853672
Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338
Coolidge Sq.,42.37207611,-71.15683131
Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207
Craigie at Summer St,42.38831608,-71.11068249
Cross St at Hanover St,42.362811,-71.056067
Curtis Hall - South St at Centre St,42.309054,-71.11543
Cypress St at Clark Playground,42.32784317,-71.12536222
Dana Park,42.36178044,-71.10809952
Danehy Park,42.388966,-71.132788
Danehy Park at New Street,42.389456,-71.139019
Dartmouth St at Newbury St,42.35096144,-71.07782811
Davis Square,42.396969,-71.123024
Day Sq,42.379295,-71.027733
Deerfield St at Commonwealth Ave,42.34924377,-71.0972821
Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131
Dorchester Ave at Gillette Park,42.34404051,-71.05737627
